SampleID,PBlueEye,PIntermediateEye,PBrownEye,Full_AUC_BlueEye,Full_AUC_IntermediateEye,Full_AUC_BrownEye,Numb_missingSNPs_Eye,Name_missingSNPs_Eye,AUC_Loss_BlueEye,AUC_Loss_IntermediateEye,AUC_Loss_BrownEye,PBlondHair,PBrownHair,PRedHair,PBlackHair,Full_AUC_BlondHair,Full_AUC_BrownHair,Full_AUC_RedHair,Full_AUC_BlackHair,Numb_missingSNPs_Hair,Name_missingSNPs_Hair,AUC_Loss_BlondHair,AUC_Loss_BrownHair,AUC_Loss_RedHair,AUC_Loss_BlackHair,PLightHair,PDarkHair,Full_AUC_HairShade,Numb_missingSNPs_HairShade,Name_missingSNPs_HairShade,AUC_Loss_HairShade
HG00143,0.847810290408105,0.0876628457066565,0.0645268638852381,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.648218152630216,0.207441990201788,0.137179543035344,0.00716031413265281,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.993239773556831,0.00676022644316923,0.905443611371445,0,,0
HG00145,0.911091001897925,0.0565970336881105,0.0323119644139641,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.597998803018591,0.357977468933701,0.0228650394841894,0.0211586885635187,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.979147910364208,0.020852089635792,0.905443611371445,0,,0
HG00146,0.847810290408105,0.0876628457066565,0.0645268638852381,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.776425124480041,0.14129161807043,0.0685045604039768,0.0137786970455526,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.985204304221045,0.0147956957789551,0.905443611371445,0,,0
HG00148,0.956360617566548,0.0354173986685561,0.00822198376489621,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.344181751878751,0.49394394774567,0.00401310637834798,0.157861193997231,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.725413714561119,0.274586285438881,0.905443611371445,0,,0
HG00149,0.847810290408105,0.0876628457066565,0.0645268638852381,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.689181279633508,0.252251361688068,0.00611529870750541,0.0524520599709187,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.940629034761424,0.0593709652385757,0.905443611371445,0,,0
HG00150,0.94890505701397,0.0354135696201772,0.0156813733658527,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.72751407656764,0.195971943827093,0.056421950811058,0.0200920287942098,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.972189469656011,0.0278105303439891,0.905443611371445,0,,0
HG00151,0.956360617566548,0.0354173986685561,0.00822198376489621,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.366340926878104,0.534428401100064,0.00367153806441785,0.095559133957415,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.803292851325183,0.196707148674817,0.905443611371445,0,,0
HG00154,0.94890505701397,0.0354135696201772,0.0156813733658527,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.761688724305165,0.136357830431015,0.0781857607136713,0.0237676845501489,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.977312359981623,0.0226876400183766,0.905443611371445,0,,0
HG00155,0.847810290408105,0.0876628457066565,0.0645268638852381,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.647661181499209,0.306543163556536,0.00236172242853515,0.0434339325157207,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.930067437499902,0.0699325625000979,0.905443611371445,0,,0
HG00157,0.911091001897925,0.0565970336881105,0.0323119644139641,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.705643084418064,0.25448248949273,0.00202415046032837,0.0378502756288775,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.949156924494552,0.0508430755054482,0.905443611371445,0,,0
HG00158,0.911091001897925,0.0565970336881105,0.0323119644139641,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.676227173592731,0.283773382498865,0.00356623612723746,0.0364332077811666,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.947499214050314,0.0525007859496856,0.905443611371445,0,,0
HG00159,0.847810290408105,0.0876628457066565,0.0645268638852381,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.171494070083908,0.0359678773907539,0.792151378273201,0.000386674252136605,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.999192424165726,0.000807575834274038,0.905443611371445,0,,0
HG00160,0.911091001897925,0.0565970336881105,0.0323119644139641,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.731534361212884,0.233906783258583,0.00303479194629315,0.0315240635822403,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.962024637240453,0.0379753627595471,0.905443611371445,0,,0
HG00171,0.94890505701397,0.0354135696201772,0.0156813733658527,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.767340433055927,0.123805566659646,0.0979139287574181,0.0109400715270082,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.989054109774265,0.0109458902257346,0.905443611371445,0,,0
HG00173,0.911091001897925,0.0565970336881105,0.0323119644139641,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.705643084418064,0.25448248949273,0.00202415046032837,0.0378502756288775,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.949156924494552,0.0508430755054482,0.905443611371445,0,,0
HG00174,0.847810290408105,0.0876628457066565,0.0645268638852381,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.660635833102839,0.27272622577104,0.00405331017623167,0.0625846309498899,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.921106096886131,0.0788939031138687,0.905443611371445,0,,0
HG00176,0.911091001897925,0.0565970336881105,0.0323119644139641,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.671525744816779,0.293794999351884,0.00845756966888311,0.0262216861624537,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.971822941329464,0.0281770586705355,0.905443611371445,0,,0
HG00177,0.911091001897925,0.0565970336881105,0.0323119644139641,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.731534361212884,0.233906783258583,0.00303479194629315,0.0315240635822403,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.962024637240453,0.0379753627595471,0.905443611371445,0,,0
